lens_pair,lens1,lens2,baseline_coupling,original_coupling,orientation,L1_tolerance_1pct_mm,L1_max_drop,L1_sensitivity_per_mm,L2_tolerance_1pct_mm,L2_max_drop,L2_sensitivity_per_mm,worse_lens,total_len_mm,z_l1_mm,z_l2_mm,z_fiber_mm
48-274+LA4725,48-274,LA4725,0.643,0.2838,SfccfF,1.0,0.3628,0.3628,1.0,0.168,0.168,L1,85.37698553923896,28.05394151383642,36.199724951082885,111.37698553923896
LA4148+67-223,LA4148,67-223,0.6426,0.281865,SfccfF,1.0,0.2815999999999999,0.2815999999999999,1.0,0.1625999999999999,0.1625999999999999,L1,84.56085388659618,28.85934355602847,35.61420203669377,110.56085388659618
LA4148+LA4078,LA4148,LA4078,0.6404,0.280145,SfccfF,1.0,0.2672,0.2672,1.0,0.1685999999999999,0.1685999999999999,L1,84.680495075422,29.00036556722744,35.38049507542199,110.680495075422
48-274+LA4464,48-274,LA4464,0.6302,0.2666,SfccfF,1.0,0.3773999999999999,0.3773999999999999,1.0,0.2662,0.2662,L1,70.0120137006427,28.93479211578655,35.812013700642694,96.0120137006427
84-282+LA4464,84-282,LA4464,0.6238,0.268535,SfccfF,1.0,0.3656,0.3656,1.0,0.256,0.256,L1,70.01254893344463,28.25006007123452,35.81254893344463,96.01254893344463
LA4464+LA4078,LA4464,LA4078,0.6128,0.266815,SfccfF,1.0,0.2532,0.2532,1.0,0.1798,0.1798,L1,95.86419791523628,27.00344247835519,47.68351098806302,121.86419791523628
LA4148+LA4464,LA4148,LA4464,0.605,0.266385,SfccfF,1.0,0.3535999999999999,0.3535999999999999,1.0,0.2502,0.2502,L1,69.86082920075869,29.096030102490587,35.66082920075867,95.86082920075869
LA4464+67-223,LA4464,67-223,0.5994,0.265955,SfccfF,1.0,0.2458,0.2458,1.0,0.1642,0.1642,L1,94.63298626943656,27.00481733869951,47.33499065163733,120.63298626943656
LA4464+84-284,LA4464,84-284,0.5956,0.254345,SfccfF,1.0,0.299,0.299,1.0,0.1512,0.1512,L1,109.94532661649029,27.00748263445333,47.66687120450928,135.9453266164903
84-283+67-223,84-283,67-223,0.5898,0.258645,SfccfF,1.0,0.2288,0.2288,1.0,0.1608,0.1608,L1,90.69961885088505,35.12313023154749,41.75043271816989,116.69961885088505
84-282+84-284,84-282,84-284,0.5868,0.253485,SfccfF,1.0,0.2729999999999999,0.2729999999999999,1.0,0.1352,0.1352,L1,100.0603953216389,28.140666832686826,36.06039532163889,126.0603953216389
LA4022+LA4725,LA4022,LA4725,0.5858,0.256065,SfccfF,1.0,0.3818,0.3818,1.0,0.187,0.187,L1,90.26387371106296,34.80186876943902,41.07130495981254,116.26387371106296
LA4022+67-223,LA4022,67-223,0.5784,0.25155,SfccfF,1.0,0.3618,0.3618,1.0,0.1972,0.1972,L1,90.30889549636636,35.705649826872744,41.30889549636636,116.30889549636636
LA4022+LA4022,LA4022,LA4022,0.5748,0.2506899999999999,SfccfF,1.0,0.2804,0.2804,1.0,0.1963999999999999,0.1963999999999999,L1,72.92303959470796,33.267125203648945,38.92303959470797,98.92303959470796
84-283+LA4078,84-283,LA4078,0.5706,0.25155,SfccfF,1.0,0.2256,0.2256,1.0,0.1594,0.1594,L1,91.29422063004765,35.32377366148833,42.04005213981965,117.29422063004765
LA4464+67-224,LA4464,67-224,0.57,0.25327,SfccfF,1.0,0.2541999999999999,0.2541999999999999,1.0,0.1359999999999999,0.1359999999999999,L1,121.83253695990012,27.451784382665043,47.85646077330517,147.83253695990012
84-283+LA4022,84-283,LA4022,0.5684,0.25327,SfccfF,1.0,0.2798,0.2798,1.0,0.1906,0.1906,L1,73.27789731344863,32.70048156836985,39.27789731344865,99.27789731344863
84-282+LA4545,84-282,LA4545,0.5586,0.25155,SfccfF,1.0,0.2648,0.2648,1.0,0.1306,0.1306,L1,110.78291013357261,28.92475184185312,37.246899246837415,136.7829101335726
