lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
36-682,45-695,nelder_mead,270.0,0.01149996803828756,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,280.0,0.014999962271302073,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,290.0,0.011499973827001008,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,300.0,0.017499963958458545,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,powell,150.0,0.00044817869606547916,37.56718344570158,9.729490152337895,10.56718344570158,37.56718344570158
36-682,45-695,powell,160.0,0.00022778015704935696,37.56718344570158,9.729490152337895,10.56718344570158,37.56718344570158
36-682,45-695,powell,170.0,0.0003154900283754568,37.56718344570158,9.729490152337895,10.56718344570158,37.56718344570158
36-682,45-695,powell,180.0,0.0003287019773960953,37.56718344570158,9.729490152337895,10.56718344570158,37.56718344570158
36-682,45-695,powell,190.0,0.00026891833208345003,37.56718344570158,9.729490152337895,10.56718344570158,37.56718344570158
36-682,45-695,powell,200.0,0.18137937285491593,39.57209630069967,9.805921664385918,12.572096300699672,39.57209630069967
36-682,45-695,powell,210.0,0.22114427915263077,39.47043686730439,9.710673801836899,12.470436867304391,39.47043686730439
36-682,45-695,powell,220.0,0.22766816057881495,39.554027839659796,9.788240735544047,12.554027839659794,39.554027839659796
36-682,45-695,powell,230.0,0.23475174846859073,39.590963404432905,9.702219215817886,12.590963404432905,39.590963404432905
36-682,45-695,powell,240.0,0.23128895288515317,39.56804860105367,9.703854032583854,12.568048601053668,39.56804860105367
36-682,45-695,powell,250.0,0.24349776297975345,39.48660796509124,9.724225230009132,12.486607965091235,39.48660796509124
36-682,45-695,powell,260.0,0.22449811449308504,39.523148791924065,9.715723678130718,12.523148791924067,39.523148791924065
36-682,45-695,powell,270.0,0.23449825157289578,39.48103055484418,9.711742211231401,12.48103055484418,39.48103055484418
36-682,45-695,powell,280.0,0.24399834160357148,39.47599972183755,9.708729241230833,12.475999721837551,39.47599972183755
36-682,45-695,powell,290.0,0.23399854077000834,39.59075297420783,9.75201067274829,12.590752974207827,39.59075297420783
36-682,45-695,powell,300.0,0.22949871766068566,39.46325804064114,9.724060430794967,12.463258040641144,39.46325804064114
36-682,45-695,grid_search,150.0,0.00020154387470459501,40.725,12.237499999999999,13.725,40.725
36-682,45-695,grid_search,160.0,0.0001352513144991031,40.725,11.391666666666666,13.725,40.725
36-682,45-695,grid_search,170.0,0.00024025279499010333,40.725,11.391666666666666,13.725,40.725
36-682,45-695,grid_search,180.0,0.00012132669239779308,40.725,11.391666666666666,13.725,40.725
36-682,45-695,grid_search,190.0,0.00010012521961068164,40.725,11.391666666666666,13.725,40.725
36-682,45-695,grid_search,200.0,0.21345191615529255,50.2,9.7,23.2,50.2
36-682,45-695,grid_search,210.0,0.21966073176603332,40.725,9.7,13.725,40.725
36-682,45-695,grid_search,220.0,0.2366328518636633,40.725,9.7,13.725,40.725
36-682,45-695,grid_search,230.0,0.2520574019813964,50.2,9.7,23.2,50.2
36-682,45-695,grid_search,240.0,0.2529095744618825,40.725,9.7,13.725,40.725
36-682,45-695,grid_search,250.0,0.24899757702194752,40.725,9.7,13.725,40.725
36-682,45-695,grid_search,260.0,0.2579971735415223,50.2,9.7,23.2,50.2
36-682,45-695,grid_search,270.0,0.2619974034158289,50.2,9.7,23.2,50.2
36-682,45-695,grid_search,280.0,0.2539977222211521,50.2,9.7,23.2,50.2
36-682,45-695,grid_search,290.0,0.24299841452449364,40.725,9.7,13.725,40.725
36-682,45-695,grid_search,300.0,0.23199829641195463,50.2,9.7,23.2,50.2
36-682,45-695,bayesian,150.0,1.911183345149692e-05,44.88876439321756,10.024114920070348,17.888764393217564,44.88876439321756
36-682,45-695,bayesian,160.0,1.1224447693479436e-05,44.88876439321756,10.024114920070348,17.888764393217564,44.88876439321756
36-682,45-695,bayesian,170.0,7.689152196013947e-06,44.88876439321756,10.024114920070348,17.888764393217564,44.88876439321756
36-682,45-695,bayesian,180.0,4.713669633178301e-06,44.88876439321756,10.024114920070348,17.888764393217564,44.88876439321756
36-682,45-695,bayesian,190.0,4.042794632654068e-06,44.88876439321756,10.024114920070348,17.888764393217564,44.88876439321756
36-682,45-695,bayesian,200.0,0.19318025021316818,45.09504736095656,9.805249861263492,18.095047360956563,45.09504736095656
36-682,45-695,bayesian,210.0,0.2186129082795577,45.07954485740201,9.819017737086087,18.079544857402016,45.07954485740201
36-682,45-695,bayesian,220.0,0.21783022978957298,45.09505779361424,9.805350235358958,18.095057793614238,45.09505779361424
36-682,45-695,bayesian,230.0,0.22759773067144773,45.07954825605164,9.819020136120473,18.07954825605164,45.07954825605164
36-682,45-695,bayesian,240.0,0.21655479059760754,45.09504482096533,9.805249719311483,18.095044820965324,45.09504482096533
36-682,45-695,bayesian,250.0,0.22899752063241222,45.08924803602655,9.810925439014651,18.08924803602655,45.08924803602655
36-682,45-695,bayesian,260.0,0.21799786430548887,45.09505088672476,9.805259825102105,18.095050886724763,45.09505088672476
36-682,45-695,bayesian,270.0,0.2479978020465487,45.079548537012954,9.819019183125697,18.07954853701295,45.079548537012954
36-682,45-695,bayesian,280.0,0.2329981317732027,45.07954815568047,9.819018937751169,18.079548155680467,45.07954815568047
36-682,45-695,bayesian,290.0,0.2309983238468492,45.079544005723996,9.819004546340837,18.079544005723996,45.079544005723996
