lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
84-277,LA4002,dual_annealing,190.0,4.293448542658437e-05,35.7,9.907528543677948,10.7,35.7
84-277,LA4002,dual_annealing,200.0,0.22512334321632507,41.155310268532276,12.166419123141441,16.155310268532272,41.155310268532276
84-277,LA4002,dual_annealing,210.0,0.23324519608945343,41.29661551363617,12.120793798460408,16.296615513636166,41.29661551363617
84-277,LA4002,dual_annealing,220.0,0.23640460134840469,41.16405801611152,12.138990207076814,16.164058016111518,41.16405801611152
84-277,LA4002,dual_annealing,230.0,0.23709899946774632,44.3158382444382,12.009794597177649,19.315838244438197,44.3158382444382
84-277,LA4002,dual_annealing,240.0,0.23120178437895836,41.30890459936025,12.117859030276687,16.308904599360243,41.30890459936025
84-277,LA4002,dual_annealing,250.0,0.2724973615337052,41.464031216730405,12.112256412221761,16.464031216730408,41.464031216730405
84-277,LA4002,dual_annealing,260.0,0.23949789534029917,41.594768217880784,12.107188563928055,16.594768217880784,41.594768217880784
84-277,LA4002,dual_annealing,270.0,0.23149818657736704,41.26678737242566,12.235145909329066,16.26678737242566,41.26678737242566
84-277,LA4002,dual_annealing,280.0,0.24099829687412624,41.209603416050115,12.174817261904149,16.20960341605011,41.209603416050115
84-277,LA4002,dual_annealing,290.0,0.2594983421485238,41.1203031849685,12.155688834526611,16.1203031849685,41.1203031849685
84-277,LA4002,dual_annealing,300.0,0.23249865442595669,41.308925426342626,12.276864469785501,16.308925426342626,41.308925426342626
84-277,LA4002,nelder_mead,150.0,0.00027711494979177156,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
84-277,LA4002,nelder_mead,160.0,0.00017047099955354642,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
84-277,LA4002,nelder_mead,170.0,0.00013453718885942439,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
84-277,LA4002,nelder_mead,180.0,6.878398869747951e-05,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
84-277,LA4002,nelder_mead,190.0,9.667493308277342e-05,34.815415031603045,9.701659346740023,9.815415031603045,34.815415031603045
84-277,LA4002,nelder_mead,200.0,0.21284028491422394,41.125429088424426,12.127671751950402,16.125429088424426,41.125429088424426
84-277,LA4002,nelder_mead,210.0,0.24864186566169225,41.15087693091482,12.129360117949545,16.15087693091482,41.15087693091482
84-277,LA4002,nelder_mead,220.0,0.22923128556181915,41.156746192036735,12.129194195204036,16.156746192036735,41.156746192036735
84-277,LA4002,nelder_mead,230.0,0.1104144025505675,39.179949016543105,11.372473740484565,14.179949016543105,39.179949016543105
84-277,LA4002,nelder_mead,240.0,0.24013210251579342,41.12620744854212,12.151899479329586,16.126207448542118,41.12620744854212
84-277,LA4002,nelder_mead,250.0,0.2519975932316889,41.16183320288322,12.12589031181901,16.161833202883223,41.16183320288322
84-277,LA4002,nelder_mead,260.0,0.08649933871377175,38.009702049848784,10.46838606521851,13.009702049848784,38.009702049848784
