lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
48-276,LA4647,100.0,20.1,80.72949020038159,85.10136678631066,105.20136678631067,105.20136678631067,0.0035
48-276,LA4024,100.0,4.0,9.73124488044989,14.62141480499189,18.62141480499189,18.62141480499189,0.003
48-276,45-695,100.0,27.0,9.711849730792059,14.616509469846363,41.61650946984636,41.61650946984636,0.003
48-276,89-412,100.0,15.0,81.0,85.29106274656053,100.29106274656053,100.29106274656053,0.003
48-276,84-278,100.0,30.0,81.0,85.31455031077047,115.31455031077047,115.31455031077047,0.003
48-276,LA4194,100.0,20.1,9.923961438121422,14.223892627862343,34.32389262786234,34.32389262786234,0.0025
48-276,36-682,100.0,20.0,9.860561909900591,15.10498770273954,35.10498770273954,35.10498770273954,0.0025
48-276,36-679,100.0,21.0,9.717569789374238,14.216851065793723,35.21685106579372,35.21685106579372,0.0025
48-276,LA4003,100.0,35.0,9.796406956507909,14.692803027990402,49.6928030279904,49.6928030279904,0.0025
LA4022,LA4280,60.0,10.0,49.0,54.61464874193367,64.61464874193368,64.61464874193368,0.0025
48-276,48-667,100.0,36.0,81.0,85.52432066835466,121.52432066835466,121.52432066835466,0.0025
48-276,84-281,100.0,75.0,80.76393205031201,85.09757137767762,160.09757137767764,160.09757137767764,0.0025
48-276,36-681,100.0,22.0,9.89961688663884,14.632800316423195,36.63280031642319,36.63280031642319,0.002
48-276,89-414,100.0,25.0,9.84648916398602,14.807476901032555,39.80747690103256,39.80747690103256,0.002
48-275,84-277,75.0,25.0,9.815891239836958,15.294972694777911,40.29497269477791,40.29497269477791,0.002
48-276,48-025,100.0,30.0,9.842056389952846,14.464750036074152,44.46475003607415,44.46475003607415,0.002
48-276,LA4002,100.0,25.0,9.763255655351555,20.584276414310608,45.58427641431061,45.58427641431061,0.002
48-276,48-026,100.0,40.0,9.726056219066487,14.404471267413637,54.40447126741364,54.40447126741364,0.002
48-276,36-683,100.0,25.0,9.766618006853713,14.07963669084378,39.07963669084378,39.07963669084378,0.0015
48-276,84-277,100.0,25.0,9.825313153774085,15.16826691597662,40.168266915976616,40.168266915976616,0.0015
LA4022,70-886,60.0,8.0,50.0,55.745898034764735,63.745898034764735,63.745898034764735,0.0015
48-276,48-664,100.0,15.0,81.0,85.29106274656053,100.29106274656053,100.29106274656053,0.0015
48-276,48-665,100.0,24.0,81.0,85.66323177349575,109.66323177349575,109.66323177349575,0.0015
48-276,LA4966,100.0,30.1,9.773768949230202,14.180994748088127,44.280994748088126,44.280994748088126,0.001
LA4022,LA4966,60.0,30.1,9.760825571091797,16.385485619173817,46.485485619173815,46.485485619173815,0.001
48-276,36-680,100.0,36.0,9.821751304276217,14.436241352368224,50.43624135236823,50.43624135236823,0.001
LA4022,70-883,60.0,6.0,49.0,54.96393203476474,60.96393203476474,60.96393203476474,0.001
LA4022,70-884,60.0,6.0,49.0,54.96393203476474,60.96393203476474,60.96393203476474,0.001
48-275,LA4327,75.0,75.3,9.704449261046944,14.972448231886496,90.2724482318865,90.2724482318865,0.001
48-276,48-027,100.0,50.0,10.265483956697482,14.631191135738446,64.63119113573845,64.63119113573845,0.0005
48-276,LA4026,100.0,6.0,81.0,85.34589803476474,91.34589803476474,91.34589803476474,0.0005
48-276,70-884,100.0,6.0,81.0,85.34589803476474,91.34589803476474,91.34589803476474,0.0005
48-276,36-685,100.0,84.0,9.811685711592567,14.559659073510366,98.55965907351036,98.55965907351036,0.0005
48-276,48-028,100.0,100.0,9.777732361763695,14.395768006113384,114.39576800611339,114.39576800611339,0.0005
48-276,84-280,100.0,60.0,9.839478934070277,56.69774858237831,116.69774858237831,116.69774858237831,0.0005
LA4022,36-680,60.0,36.0,9.840945959296759,16.083584432262438,52.08358443226244,52.08358443226244,0.0
48-276,48-669,100.0,36.0,9.711912130456247,22.944436294709515,58.94443629470952,58.94443629470952,0.0
48-276,84-279,100.0,45.0,9.706940539664755,14.19068107375208,59.19068107375208,59.19068107375208,0.0
LA4022,LA4026,60.0,6.0,49.0,54.96393203476474,60.96393203476474,60.96393203476474,0.0
LA4022,LA4036,60.0,6.0,49.0,54.96393203476474,60.96393203476474,60.96393203476474,0.0
48-276,LA4042,100.0,60.0,9.706898459491939,14.266573785037366,74.26657378503737,74.26657378503737,0.0
48-276,36-684,100.0,72.0,9.755462151684323,14.048116861344766,86.04811686134477,86.04811686134477,0.0
48-276,LA4327,100.0,75.3,9.756989614378577,14.673047631712326,89.97304763171232,89.97304763171232,0.0
48-276,70-883,100.0,6.0,81.0,85.34589803476474,91.34589803476474,91.34589803476474,0.0
48-276,LA4036,100.0,6.0,81.0,85.34589803476474,91.34589803476474,91.34589803476474,0.0
