lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-681,84-277,22.0,25.0,10.628670490314159,14.257056102487962,39.257056102487965,39.257056102487965,0.239
LA4647,48-025,20.1,30.0,9.99269541638721,14.987912298775594,44.9879122987756,44.9879122987756,0.239
LA4647,36-681,20.1,22.0,9.768479262349677,14.576612922435972,36.57661292243597,36.57661292243597,0.2385
48-024,36-683,25.0,25.0,11.88670057395299,18.97529125365281,43.97529125365281,43.97529125365281,0.2385
84-277,84-278,25.0,30.0,12.74181534537043,17.64959789884865,47.649597898848654,47.649597898848654,0.2385
LA4647,45-695,20.1,27.0,9.733252213320057,14.555085129206544,41.555085129206546,41.555085129206546,0.2375
36-681,LA4647,22.0,20.1,9.824168573844723,13.38370582974159,33.483705829741595,33.483705829741595,0.2365
84-277,36-683,25.0,25.0,11.975303391019056,16.866899239091232,41.86689923909123,41.86689923909123,0.2365
48-024,84-277,25.0,25.0,11.887943462980358,22.17702288137249,47.177022881372494,47.177022881372494,0.2365
36-682,45-695,20.0,27.0,9.775561752573763,13.285561314217368,40.28556131421737,40.28556131421737,0.236
36-682,84-278,20.0,30.0,9.881840597847459,18.257624913519773,48.25762491351978,48.25762491351978,0.2355
LA4002,36-683,25.0,25.0,12.053146050128674,16.258407242719297,41.2584072427193,41.2584072427193,0.235
48-025,LA4936,30.0,30.1,14.93754197532012,30.85996595225255,60.95996595225255,60.95996595225255,0.235
36-681,48-024,22.0,25.0,10.618363750914366,14.17875162901761,39.17875162901761,39.17875162901761,0.2345
36-686,48-025,27.0,30.0,13.780531021128924,20.042386098432534,50.04238609843253,50.04238609843253,0.2345
36-681,45-695,22.0,27.0,10.851596049678543,14.352353257444541,41.35235325744454,41.35235325744454,0.234
LA4002,LA4002,25.0,25.0,12.205651972611047,16.409695394715953,41.40969539471595,41.40969539471595,0.2335
36-682,36-683,20.0,25.0,9.724185105393277,13.226094519684402,38.2260945196844,38.2260945196844,0.2325
36-686,LA4936,27.0,30.1,13.786897906263256,19.880617255004488,49.98061725500449,49.98061725500449,0.2325
84-277,48-025,25.0,30.0,12.736114309246938,17.50851850974784,47.508518509747844,47.508518509747844,0.231
48-024,84-278,25.0,30.0,12.767421278793174,17.205334947820322,47.20533494782032,47.20533494782032,0.23
84-277,LA4936,25.0,30.1,12.783977244391071,17.665964539450478,47.76596453945048,47.76596453945048,0.229
LA4936,48-025,30.1,30.0,15.446304415366798,19.3955121798948,49.3955121798948,49.3955121798948,0.2285
48-025,84-278,30.0,30.0,15.380418236748147,19.762215650706146,49.762215650706146,49.762215650706146,0.228
LA4936,84-279,30.1,45.0,15.647081234772974,79.4613217448127,124.4613217448127,124.4613217448127,0.228
36-683,36-683,25.0,25.0,11.896674318490215,18.443841267168832,43.443841267168835,43.443841267168835,0.2275
LA4936,84-278,30.1,30.0,15.320713816897745,22.323393638634386,52.323393638634386,52.323393638634386,0.2275
36-682,LA4647,20.0,20.1,9.728040800684717,13.228094394638843,33.328094394638846,33.328094394638846,0.227
36-683,LA4002,25.0,25.0,12.13296661539859,15.688833940106768,40.68883394010677,40.68883394010677,0.227
LA4647,84-278,20.1,30.0,9.991334556052923,14.880087624284421,44.88008762428442,44.88008762428442,0.227
36-686,48-669,27.0,36.0,14.037429074675874,35.74235385294724,71.74235385294725,71.74235385294725,0.2265
LA4021,LA4936,30.0,30.1,15.339607715693347,26.761255182816818,56.86125518281682,56.86125518281682,0.226
LA4002,LA4936,25.0,30.1,12.801135960016781,17.012484791401974,47.112484791401975,47.112484791401975,0.2255
49-959,84-278,30.0,30.0,15.313166069626,21.825104640970647,51.82510464097065,51.82510464097065,0.2255
36-683,84-277,25.0,25.0,12.113028964408876,16.395874468104925,41.39587446810492,41.39587446810492,0.2245
36-686,48-024,27.0,25.0,13.0471872203212,19.217002577053343,44.21700257705334,44.21700257705334,0.2245
84-278,84-278,30.0,30.0,15.368149229732571,19.61458620769591,49.61458620769591,49.61458620769591,0.224
LA4647,LA4647,20.1,20.1,9.727505781033942,14.538661050388326,34.63866105038833,34.63866105038833,0.223
48-024,48-025,25.0,30.0,12.832711141665703,17.281435857180185,47.281435857180185,47.281435857180185,0.222
49-959,48-025,30.0,30.0,15.255681703008275,23.737845802973244,53.73784580297324,53.73784580297324,0.2215
LA4021,48-025,30.0,30.0,15.316058294795118,26.317209479298153,56.31720947929816,56.31720947929816,0.2215
LA4936,LA4936,30.1,30.1,15.498609364988372,19.751362072295148,49.851362072295146,49.851362072295146,0.221
84-278,48-025,30.0,30.0,15.33374734496125,20.841903147201368,50.841903147201364,50.841903147201364,0.221
36-683,84-278,25.0,30.0,12.761446160661668,16.299648366539543,46.29964836653954,46.29964836653954,0.2205
LA4021,48-026,30.0,40.0,16.557565395943936,27.649629646555603,67.64962964655561,67.64962964655561,0.2205
36-683,LA4936,25.0,30.1,12.793324754461059,16.40039723227791,46.50039723227791,46.50039723227791,0.22
36-681,LA4936,22.0,30.1,11.054109402725274,17.57540823242954,47.67540823242955,47.67540823242955,0.217
36-682,36-682,20.0,20.0,9.805728041063738,13.312003517393649,33.31200351739365,33.31200351739365,0.216
