lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
49-959,36-687,nelder_mead,300.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,powell,150.0,0.3535,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,160.0,0.3585,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,170.0,0.3635,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,180.0,0.3725,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,190.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,200.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,210.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,220.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,230.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,240.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,250.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,260.0,0.373,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,270.0,0.3725,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,280.0,0.3725,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,290.0,0.3725,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,powell,300.0,0.3725,33.89540122201228,13.65577581125782,23.895401222012275,59.89540122201228,SfccfF,argon
49-959,36-687,grid_search,150.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,160.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,170.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,180.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,190.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,200.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,210.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,220.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,230.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,240.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,250.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,260.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,270.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,280.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,290.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
49-959,36-687,grid_search,300.0,0.184,67.40158902250197,16.318749999999998,57.58333333333333,93.40158902250197,ScffcF,argon
