lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
LA4002,84-277,25.0,25.0,11.945848579906691,21.778519951530402,46.7785199515304,46.7785199515304,0.241
36-681,LA4002,22.0,25.0,9.7,38.86666666666666,63.86666666666666,63.86666666666666,0.241
84-277,48-024,25.0,25.0,12.110478458109574,16.88467968997302,41.88467968997302,41.88467968997302,0.2405
36-681,36-683,22.0,25.0,10.48991328517142,14.020561064083312,39.02056106408331,39.02056106408331,0.24
36-681,36-682,22.0,20.0,9.748736770698265,13.248756367237583,33.24875636723758,33.24875636723758,0.2385
36-681,36-683,22.0,25.0,10.568666552947995,14.069012416691203,39.0690124166912,39.0690124166912,0.2385
36-682,48-024,20.0,25.0,9.7006991685679,13.234149922466717,38.23414992246671,38.23414992246671,0.2375
LA4647,LA4002,20.1,25.0,9.703965786770688,14.519703977633782,39.51970397763378,39.51970397763378,0.2375
LA4647,36-683,20.1,25.0,9.778656452467672,14.955592219518898,39.9555922195189,39.9555922195189,0.2375
36-682,84-277,20.0,25.0,9.7,21.3721594590522,46.3721594590522,46.3721594590522,0.2375
36-682,LA4936,20.0,30.1,9.976552432824759,18.4010217443099,48.5010217443099,48.5010217443099,0.2375
LA4002,84-277,25.0,25.0,12.154641886820954,16.396115572799566,41.396115572799566,41.396115572799566,0.2365
36-681,36-682,22.0,20.0,9.75020666796315,13.261244473464203,33.2612444734642,33.2612444734642,0.236
36-681,36-681,22.0,22.0,10.670833333333333,16.191666666666666,38.19166666666666,38.19166666666666,0.236
36-681,36-682,22.0,20.0,9.704001767090503,13.20993861708779,33.209938617087786,33.209938617087786,0.2355
36-681,36-683,22.0,25.0,10.670833333333333,22.2,47.2,47.2,0.235
36-681,36-681,22.0,22.0,10.07201367673099,18.004211306028637,40.00421130602864,40.00421130602864,0.234
36-683,48-024,25.0,25.0,12.109544928306134,15.66828204602556,40.66828204602556,40.66828204602556,0.234
84-277,84-277,25.0,25.0,11.4375,35.166666666666664,60.166666666666664,60.166666666666664,0.234
36-681,LA4002,22.0,25.0,10.585831198890638,14.09359661352537,39.09359661352537,39.09359661352537,0.2335
36-681,36-681,22.0,22.0,10.110928803090296,13.611167116927698,35.611167116927696,35.611167116927696,0.2325
36-682,LA4002,20.0,25.0,9.72757075844751,13.22912492458915,38.22912492458915,38.22912492458915,0.2325
LA4647,LA4936,20.1,30.1,10.03982140428368,14.940320515831367,45.04032051583137,45.04032051583137,0.2325
36-681,LA4002,22.0,25.0,10.237354503464987,28.72454550712114,53.724545507121135,53.724545507121135,0.2325
LA4021,84-278,30.0,30.0,15.267426519505106,26.417084583654372,56.41708458365437,56.41708458365437,0.2325
LA4002,84-277,25.0,25.0,12.163835844295441,16.364666111351298,41.3646661113513,41.3646661113513,0.232
36-682,48-025,20.0,30.0,9.978158418734147,13.635251747928812,43.63525174792881,43.63525174792881,0.232
36-682,48-024,20.0,25.0,9.718782415951353,13.218845144613791,38.218845144613795,38.218845144613795,0.2315
36-682,LA4936,20.0,30.1,10.003551961564334,13.597847505909485,43.697847505909486,43.697847505909486,0.2315
LA4021,84-278,30.0,30.0,15.200919868284945,27.552580547053367,57.55258054705337,57.55258054705337,0.231
36-681,LA4002,22.0,25.0,10.5841886380245,14.172678750544376,39.17267875054438,39.17267875054438,0.2305
LA4021,84-278,30.0,30.0,15.239908980513444,26.46309398175054,56.46309398175054,56.46309398175054,0.2305
LA4647,48-024,20.1,25.0,9.765054453502172,14.585845371605593,39.58584537160559,39.58584537160559,0.23
36-681,LA4002,22.0,25.0,10.646311640987102,14.160147053182094,39.160147053182094,39.160147053182094,0.229
LA4647,LA4002,20.1,25.0,9.7,18.356898896679432,43.35689889667943,43.35689889667943,0.229
36-682,48-025,20.0,30.0,9.977647570028324,14.021817794403013,44.02181779440301,44.02181779440301,0.229
84-277,LA4002,25.0,25.0,11.499344843215962,30.771534226913456,55.77153422691346,55.77153422691346,0.229
LA4647,LA4936,20.1,30.1,9.996887803900696,14.896784058800522,44.99678405880052,44.99678405880052,0.228
LA4002,48-025,25.0,30.0,12.810893407079785,17.182904270565444,47.182904270565444,47.182904270565444,0.228
36-686,84-278,27.0,30.0,13.814934816820832,20.679352880064073,50.67935288006407,50.67935288006407,0.228
36-682,84-277,20.0,25.0,9.770973589328397,13.271770719841118,38.271770719841115,38.271770719841115,0.2275
48-025,48-025,30.0,30.0,15.34917911118232,20.45370660092234,50.453706600922345,50.453706600922345,0.2275
84-277,LA4002,25.0,25.0,12.529174546511715,17.27956701831917,42.27956701831917,42.27956701831917,0.227
36-683,48-024,25.0,25.0,12.13327766470648,15.633277776554767,40.63327777655476,40.63327777655476,0.2265
36-683,48-024,25.0,25.0,12.125325819115156,15.693448234822284,40.693448234822284,40.693448234822284,0.2265
LA4002,84-277,25.0,25.0,12.249823451968517,16.458676838853485,41.458676838853485,41.458676838853485,0.2265
36-682,LA4936,20.0,30.1,9.975482336898565,13.500047856617453,43.60004785661745,43.60004785661745,0.2265
LA4647,LA4936,20.1,30.1,9.99988522971231,15.52523057820735,45.62523057820735,45.62523057820735,0.2265
36-682,LA4936,20.0,30.1,9.986144472182431,13.486163679840994,43.58616367984099,43.58616367984099,0.2255
36-686,84-278,27.0,30.0,13.75434124852914,20.43164333335941,50.43164333335941,50.43164333335941,0.2255
LA4647,36-683,20.1,25.0,9.7,18.35689872207061,43.35689872207061,43.35689872207061,0.225
36-682,LA4936,20.0,30.1,9.969064703764145,13.870194691243741,43.97019469124374,43.97019469124374,0.2245
84-277,48-024,25.0,25.0,11.4375,31.0,56.0,56.0,0.224
84-277,48-024,25.0,25.0,12.083279615356041,16.83758762303289,41.83758762303289,41.83758762303289,0.223
LA4002,48-025,25.0,30.0,12.77532427432537,17.987618782685292,47.98761878268529,47.98761878268529,0.223
36-683,48-024,25.0,25.0,11.4375,31.0,56.0,56.0,0.223
48-025,48-025,30.0,30.0,15.382706932392471,19.523108939560778,49.52310893956078,49.52310893956078,0.2225
36-681,36-682,22.0,20.0,9.7,18.44486289485303,38.44486289485303,38.44486289485303,0.222
LA4002,48-025,25.0,30.0,12.743012831934156,18.999132212127332,48.999132212127336,48.999132212127336,0.222
LA4021,84-278,30.0,30.0,15.198014254329731,27.575914191792684,57.575914191792684,57.575914191792684,0.222
48-025,48-025,30.0,30.0,15.400929861281625,19.453410057302758,49.45341005730276,49.45341005730276,0.2205
36-686,LA4003,27.0,35.0,14.100297991995777,41.31246900695517,76.31246900695517,76.31246900695517,0.2205
36-686,84-278,27.0,30.0,13.55,29.833333333333332,59.83333333333333,59.83333333333333,0.22
LA4002,48-024,25.0,25.0,12.141656250842646,16.347925294947164,41.34792529494716,41.34792529494716,0.2195
