lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
84-283,LA4078,differential_evolution,300.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,dual_annealing,150.0,0.5535,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,160.0,0.5585,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,170.0,0.5635,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,180.0,0.5695,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,190.0,0.5795,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,200.0,0.5875,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,210.0,0.587,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,220.0,0.587,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,230.0,0.5865,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,240.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,250.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,260.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,270.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,280.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,290.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,dual_annealing,300.0,0.586,117.21962398406052,35.30853565172956,41.919623984060514,117.21962398406052,SfccfF,argon
84-283,LA4078,nelder_mead,150.0,0.574,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,160.0,0.582,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,170.0,0.5955,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,180.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,190.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,200.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,210.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,220.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,230.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,240.0,0.597,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,250.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,260.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,270.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,280.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,290.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,nelder_mead,300.0,0.5965,117.10139814998094,35.32181520398599,41.824607929201235,117.10139814998094,SfccfF,argon
84-283,LA4078,powell,150.0,0.568,118.95216071355537,35.28590369804415,43.65216071355537,118.95216071355537,SfccfF,argon
84-283,LA4078,powell,160.0,0.572,118.95216071355537,35.28590369804415,43.65216071355537,118.95216071355537,SfccfF,argon
84-283,LA4078,powell,170.0,0.577,118.95216071355537,35.28590369804415,43.65216071355537,118.95216071355537,SfccfF,argon
84-283,LA4078,powell,180.0,0.5795,118.95216071355537,35.28590369804415,43.65216071355537,118.95216071355537,SfccfF,argon
