lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
LA4002,84-277,grid_search,210.0,0.191,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,220.0,0.203,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,230.0,0.208,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,240.0,0.202,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,250.0,0.203,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,260.0,0.206,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,270.0,0.19,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,280.0,0.199,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,290.0,0.186,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,grid_search,300.0,0.196,60.16666666666666,11.4375,35.166666666666664,60.16666666666666,argon
LA4002,84-277,bayesian,150.0,0.1865,46.367999926878745,13.224906020050092,21.367999926878745,46.367999926878745,argon
LA4002,84-277,bayesian,160.0,0.194,46.36799941484404,13.224905823271426,21.367999414844043,46.36799941484404,argon
LA4002,84-277,bayesian,170.0,0.182,46.21835437650574,13.233520486097389,21.218354376505737,46.21835437650574,argon
LA4002,84-277,bayesian,180.0,0.1875,46.36800451976966,13.22490604924625,21.368004519769663,46.36800451976966,argon
LA4002,84-277,bayesian,190.0,0.1935,46.218354209456166,13.23352041699242,21.21835420945616,46.218354209456166,argon
LA4002,84-277,bayesian,200.0,0.1925,46.21835424229329,13.233520383756009,21.218354242293284,46.21835424229329,argon
LA4002,84-277,bayesian,210.0,0.1895,46.21835443769278,13.2335204295965,21.21835443769278,46.21835443769278,argon
LA4002,84-277,bayesian,220.0,0.189,46.21835377565064,13.233520291415855,21.218353775650638,46.21835377565064,argon
LA4002,84-277,bayesian,230.0,0.2055,46.21835433552151,13.23352038437199,21.218354335521514,46.21835433552151,argon
LA4002,84-277,bayesian,240.0,0.2065,46.218354141653855,13.233520416998338,21.21835414165385,46.218354141653855,argon
LA4002,84-277,bayesian,250.0,0.1815,46.21835477319493,13.233520513528688,21.21835477319493,46.21835477319493,argon
LA4002,84-277,bayesian,260.0,0.188,46.36800341965949,13.224906308637104,21.368003419659487,46.36800341965949,argon
