Item #,Title,Diameter (mm),Center Thickness (mm),Edge Thickness (mm),Focal Length (mm),Back Focal Length (mm),Numerical Aperture,f/#,Back Surface Shape,Radius R2 (mm),Asphere Diameter (mm),Substrate,Coating,Wavelength Range (nm),Radius R1 (mm),Lens Type
21-196,"12.9mm Dia. x 14mm FL, MgF2 Coated, Aspheric Condenser Lens",12.9000,5.7000,2.5200,14.0000,10.2000,0.4600,1.0900,Plano ,∞ ,12.9000,H-K9L ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
72-484,"12.9mm Dia. x 14mm FL, Aspheric Condenser Lens, VIS-EXT",12.9000,5.7000,2.5200,14.0000,10.2000,0.4600,1.0900,Plano ,∞ ,12.9000,H-K9L ,VIS-EXT (350-700nm) ,350 - 700 ,,Plano 
72-504,"12.9mm Dia. x 14mm FL, Aspheric Condenser Lens, NIR I",12.9000,5.7000,2.5200,14.0000,10.2000,0.4600,1.0900,Plano ,∞ ,12.9000,H-K9L ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
46-660,"15mm Diameter x 12mm FL, Aspheric Condenser Lens",15.0000,7.5000,2.0000,12.0000,8.2000,0.6300,0.8000,Plano ,Plano ,15.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-531,"15mm Diameter x 12mm FL, MgF2 Coated, Aspheric Condenser Lens",15.0000,7.5000,2.0000,12.0000,8.2000,0.6300,0.8000,Plano ,Plano ,15.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
22-843,"18mm Dia. x 15.5mm FL, Aspheric Condenser Lens",18.0000,7.0000,1.4400,15.5000,10.8700,0.5800,0.8600,Plano ,Plano ,18.0000,H-K9L ,Uncoated ,,,Plano 
23-814,"18mm Dia. x 15.5mm FL, MgF2 Coated, Aspheric Condenser Lens",18.0000,7.0000,1.4400,15.5000,10.8700,0.5800,0.8600,Plano ,Plano ,18.0000,H-K9L ,MgF2  (400-700nm) ,400 - 700 ,,Plano 
72-495,"18mm Dia. x 15.5mm FL, Aspheric Condenser Lens, VIS-EXT",18.0000,7.0000,1.4400,15.5000,10.8700,0.5800,0.8600,Plano ,Plano ,18.0000,H-K9L ,VIS-EXT (350-700nm) ,350 - 700 ,,Plano 
72-515,"18mm Dia. x 15.5mm FL, Aspheric Condenser Lens, NIR I",18.0000,7.0000,1.4400,15.5000,10.8700,0.5800,0.8600,Plano ,Plano ,18.0000,H-K9L ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
43-483,"20.4mm Diameter x 25mm FL, PCX Condenser Lens",20.4000,5.2900,,25.0000,,0.4000,1.2300,Plano ,Plano ,,Float Glass ,Uncoated ,350 - 2000 ,,Plano 
15-533,"20.4mm Diameter x 25mm FL, MgF2 Coated, PCX Condenser Lens",20.4000,5.2900,,25.0000,,0.4000,1.2300,Plano ,Plano ,,Float Glass ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
46-684,"24mm Diameter x 19.7mm FL, Aspheric Condenser Lens",24.0000,10.4000,2.0000,19.7000,11.7000,0.6600,0.8000,Plano ,Plano ,24.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-534,"24mm Diameter x 19.7mm FL, MgF2 Coated, Aspheric Condenser Lens",24.0000,10.4000,2.0000,19.7000,11.7000,0.6600,0.8000,Plano ,Plano ,24.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
19-516,"24.9mm Dia. x 17mm FL, Aspheric Condenser Lens",24.9000,11.0000,1.9000,17.0000,9.8000,0.7300,0.6800,Plano ,∞ ,24.9000,H-K51 ,Uncoated ,350 - 2000 ,,Plano 
21-197,"24.9mm Dia. x 17mm FL, MgF2 Coated, Aspheric Condenser Lens",24.9000,11.0000,1.9000,17.0000,9.8000,0.7300,0.6800,Plano ,∞ ,24.9000,H-K51 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
72-485,"24.9mm Dia. x 17mm FL, Aspheric Condenser Lens, VIS-EXT",24.9000,11.0000,1.9000,17.0000,9.8000,0.7300,0.6800,Plano ,∞ ,24.9000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,,Plano 
72-505,"24.9mm Dia. x 17mm FL, Aspheric Condenser Lens, NIR I",24.9000,11.0000,1.9000,17.0000,9.8000,0.7300,0.6800,Plano ,∞ ,24.9000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
19-517,"25mm Dia. x 25mm FL, Aspheric Condenser Lens",25.0000,8.5000,1.8100,25.0000,19.4000,0.5000,1.0000,Plano ,∞ ,25.0000,H-K51 ,Uncoated ,350 - 2000 ,,Plano 
21-198,"25mm Dia. x 25mm FL, MgF2 Coated, Aspheric Condenser Lens",25.0000,8.5000,1.8100,25.0000,19.4000,0.5000,1.0000,Plano ,∞ ,25.0000,H-K51 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
72-506,"25mm Dia. x 25mm FL, Aspheric Condenser Lens, NIR I",25.0000,8.5000,1.8100,25.0000,19.4000,0.5000,1.0000,Plano ,∞ ,25.0000,H-K51 ,NIR I (600-1050nm) ,350 - 700 ,,Plano 
72-486,"25mm Dia. x 25mm FL, Aspheric Condenser Lens, VIS-EXT",25.0000,8.5000,1.8100,25.0000,19.4000,0.5000,1.0000,Plano ,∞ ,25.0000,H-K51 ,VIS-EXT (350-700nm) ,350 - 700 ,,Plano 
43-484,"25.4mm Diameter x 25.4mm FL, PCX Condenser Lens",25.4000,7.1100,,25.4000,,0.5000,1.0000,Plano ,Plano ,,Float Glass ,Uncoated ,350 - 2000 ,,Plano 
15-535,"25.4mm Diameter x 25.4mm FL, MgF2 Coated, PCX Condenser Lens",25.4000,7.1100,,25.4000,,0.5000,1.0000,Plano ,Plano ,,Float Glass ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
43-987,"27mm Diameter x 13mm FL, Aspheric Condenser Lens",27.0000,9.2500,2.0000,13.0000,6.9000,0.8800,0.6000,Plano ,Plano ,23.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-536,"27mm Diameter x 13mm FL, MgF2 Coated, Aspheric Condenser Lens",27.0000,9.2500,2.0000,13.0000,6.9000,0.8800,0.6000,Plano ,Plano ,23.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
43-988,"35mm Diameter x 26.2mm FL, Aspheric Condenser Lens",35.0000,13.9000,4.0000,26.2000,16.3000,0.6100,0.8000,Plano ,Plano ,31.1000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-537,"35mm Diameter x 26.2mm FL, MgF2 Coated, Aspheric Condenser Lens",35.0000,13.9000,4.0000,26.2000,16.3000,0.6100,0.8000,Plano ,Plano ,31.1000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
46-685,"40mm Diameter x 28.5mm FL, Aspheric Condenser Lens",40.0000,15.0000,2.0000,28.5000,18.7000,0.6300,0.8000,Plano ,Plano ,36.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-539,"40mm Diameter x 28.5mm FL, MgF2 Coated, Aspheric Condenser Lens",40.0000,15.0000,2.0000,28.5000,18.7000,0.6300,0.8000,Plano ,Plano ,36.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
46-661,"50mm Diameter x 35.7mm FL, Aspheric Condenser Lens",50.0000,16.7000,2.0000,35.7000,24.7000,0.6400,0.8000,Plano ,Plano ,47.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-540,"50mm Diameter x 35.7mm FL, MgF2 Coated, Aspheric Condenser Lens",50.0000,16.7000,2.0000,35.7000,24.7000,0.6400,0.8000,Plano ,Plano ,47.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
43-593,"50mm Diameter x 44mm FL, PCX Condenser Lens",50.0000,18.9000,,44.0000,,0.5700,0.8800,Plano ,Plano ,,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-541,"50mm Diameter x 44mm FL, MgF2 Coated, PCX Condenser Lens",50.0000,18.8000,,44.0000,,0.5700,0.8800,Plano ,Plano ,,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
46-244,"75mm Diameter x 50mm FL , Aspheric Condenser Lens",75.0000,30.0000,3.0000,50.0000,30.5000,0.7500,0.7000,Plano ,Plano ,75.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-542,"75mm Diameter x 50mm FL , MgF2 Coated, Aspheric Condenser Lens",75.0000,30.0000,3.0000,50.0000,30.5000,0.7500,0.7000,Plano ,Plano ,75.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
84-880,"80mm Diameter x 59mm FL, Aspheric Condenser Lens",80.0000,32.8000,2.8000,59.0000,37.5000,0.6500,0.8000,Plano ,Plano ,77.0000,B270 ,Uncoated ,350 - 2500 ,,Plano 
15-543,"80mm Diameter x 59mm FL, MgF2 Coated, Aspheric Condenser Lens",80.0000,32.8000,2.8000,59.0000,37.5000,0.6500,0.8000,Plano ,Plano ,77.0000,B270 ,MgF2 (400-700nm) ,400 - 700 ,,Plano 
