z_l1,z_l2,z_fiber,coupling,fiber_position_method,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
31.025,47.0,105.09982406400675,0.0752742183173136,optimized,LA4148,84-283,50.2,60.0,79.09982406400675,ScffcF
29.625,117.0,176.82784856864055,0.0739420099150828,optimized,LA4022,LA4022,60.0,60.0,150.82784856864055,SfccfF
33.0,51.0375,127.7182102895954,0.0726289624441272,optimized,84-282,LA4078,50.0,75.3,101.7182102895954,ScffcF
29.0,77.0,136.70525511054234,0.071054405061223,optimized,84-282,48-670,50.0,60.0,110.70525511054234,ScffcF
31.025,64.5,137.85376759306317,0.0695635532283269,optimized,LA4148,48-275,50.2,75.0,111.85376759306317,ScffcF
39.0,53.03333333333333,112.41234728273308,0.0682064966558476,optimized,48-274,LA4464,50.0,60.2,86.41234728273308,ScffcF
29.012500000000003,87.0,146.89517341803898,0.0675631437262533,optimized,LA4148,LA4022,50.2,60.0,120.89517341803898,ScffcF
29.0,97.0,157.18603807420575,0.0671204485829362,optimized,84-282,84-283,50.0,60.0,131.18603807420575,ScffcF
33.0,50.95,125.70029921191548,0.0668805666928565,optimized,84-282,67-223,50.0,75.0,99.70029921191548,ScffcF
39.07500000000001,53.13333333333335,112.61648488855457,0.065831971596713,optimized,LA4148,LA4464,50.2,60.2,86.61648488855457,ScffcF
29.0,88.26250000000002,147.95514198927503,0.0654353121990588,optimized,84-282,LA4022,50.0,60.0,121.95514198927503,ScffcF
39.0,46.63333333333333,106.08056055385272,0.0643678578640882,optimized,84-282,LA4464,50.0,60.2,80.08056055385272,ScffcF
38.8125,51.6625,121.62079381245408,0.0635832392085943,optimized,LA4022,LA4725,60.0,75.3,95.62079381245408,ScffcF
34.875,77.5,137.41197135553685,0.0630079254176441,optimized,84-283,LA4022,60.0,60.0,111.41197135553685,ScffcF
33.0375,50.962500000000006,125.97282123828016,0.0625857583315993,optimized,LA4148,67-223,50.2,75.0,99.97282123828016,ScffcF
29.012500000000003,97.0,155.857724400333,0.0620005951309777,optimized,LA4148,48-670,50.2,60.0,129.857724400333,ScffcF
34.875,77.5,137.3760954094453,0.0619465515409061,optimized,LA4022,LA4022,60.0,60.0,111.3760954094453,ScffcF
38.8125,51.575,129.27388722720474,0.0609563042513074,optimized,LA4022,67-223,60.0,75.0,103.27388722720474,ScffcF
35.050000000000004,72.7,144.25391352052367,0.0599487648145478,optimized,LA4148,LA4078,50.2,75.3,118.25391352052367,ScffcF
29.012500000000003,139.95,215.28752573256415,0.0596721308023644,optimized,LA4148,LA4725,50.2,75.3,189.28752573256415,ScffcF
42.75,51.6625,123.38669274714628,0.0592843510881732,optimized,84-283,LA4078,60.0,75.3,97.38669274714628,ScffcF
42.825,75.05000000000001,145.0318468548279,0.0578888668113524,optimized,LA4464,67-223,60.2,75.0,119.0318468548279,ScffcF
38.868750000000006,67.55000000000001,154.68615487890168,0.0577218194489127,optimized,LA4464,84-284,60.2,90.0,128.68615487890168,ScffcF
38.8125,75.0,152.303090419089,0.0557987827858577,optimized,84-283,67-223,60.0,75.0,126.30309041908899,ScffcF
29.0,139.95,215.1081917319275,0.0548516616529618,optimized,48-274,LA4725,50.0,75.3,189.1081917319275,ScffcF
29.0,139.5,214.434555288118,0.0546491295892094,optimized,84-282,48-275,50.0,75.0,188.434555288118,ScffcF
29.0,139.95,215.13194979404005,0.0523583979876295,optimized,84-282,LA4725,50.0,75.3,189.13194979404005,ScffcF
31.0,117.0,206.57469810391288,0.049937332160593,optimized,84-282,84-284,50.0,90.0,180.57469810391288,ScffcF
42.825,175.6,247.5966110574445,0.0407069948038469,optimized,LA4464,LA4078,60.2,75.3,221.5966110574445,ScffcF
33.0,177.0,274.51410601951204,0.0378509088018055,optimized,84-282,LA4545,50.0,100.0,248.51410601951204,ScffcF
38.868750000000006,187.55,286.4977530819993,0.0359799615505717,optimized,LA4464,67-224,60.2,100.0,260.4977530819993,ScffcF
