z_l1,z_l2,z_fiber,coupling,accepted,lens1,lens2,f1_mm,f2_mm,total_len_mm
6.8166666666666655,9.7,21.7,0.17333333333333334,[False False False ... False  True False],45-692,48-666,18.0,12.0,21.7
9.7,18.575,63.575,0.17333333333333334,[False False False ...  True False False],45-692,84-279,18.0,45.0,63.575
9.7,99.69999999999999,159.7,0.17033333333333334,[False False False ... False False  True],45-692,84-283,18.0,60.0,159.7
9.7,99.69999999999999,159.7,0.1675,[False False False ... False  True  True],45-692,48-670,18.0,60.0,159.7
5.433333333333333,389.7,509.7,0.167,[False  True False ... False False False],48-664,84-285,15.0,120.0,509.7
9.7,79.69999999999999,139.7,0.16666666666666666,[False False False ... False  True False],45-692,LA4042,18.0,60.0,139.7
9.7,99.69999999999999,159.7,0.1665,[ True False False ... False False False],45-692,49-963,18.0,60.0,159.7
6.8166666666666655,389.7,509.7,0.16566666666666666,[False  True  True ... False False False],45-692,84-285,18.0,120.0,509.7
9.7,79.69999999999999,139.7,0.1635,[False False False ... False False False],45-692,84-280,18.0,60.0,139.7
7.062499999999998,47.7,59.7,0.15616666666666668,[ True  True False ... False False  True],45-693,48-666,13.5,12.0,59.7
8.633333333333333,52.45,65.95,0.152,[False  True False ... False  True False],48-664,45-693,15.0,13.5,65.95
7.9416666666666655,41.366666666666674,51.366666666666674,0.13916666666666666,[ True False False ... False False False],45-693,LA4280,13.5,10.0,51.366666666666674
9.7,39.7,51.7,0.138,[False False False ... False  True False],48-664,48-666,15.0,12.0,51.7
7.9416666666666655,47.7,59.7,0.13683333333333333,[False False False ... False  True False],45-693,45-691,13.5,12.0,59.7
3.9333333333333327,8.366666666666667,16.366666666666667,0.13666666666666666,[False False False ... False  True False],45-692,70-886,18.0,8.0,16.366666666666667
7.9416666666666655,41.366666666666674,51.366666666666674,0.13516666666666666,[False False False ... False False False],45-693,LA4249,13.5,10.0,51.366666666666674
8.633333333333333,200.33333333333331,260.5333333333333,0.12633333333333333,[False False False ... False False False],48-664,LA4464,15.0,60.2,260.5333333333333
7.9416666666666655,47.7,59.7,0.12183333333333334,[False False  True ... False False False],45-693,70-888,13.5,12.0,59.7
9.7,200.33333333333331,260.5333333333333,0.1215,[False False False ... False False False],45-692,LA4464,18.0,60.2,260.5333333333333
7.9416666666666655,41.366666666666674,51.366666666666674,0.11366666666666667,[False False False ... False False False],45-693,89-411,13.5,10.0,51.366666666666674
8.633333333333333,563.8666666666667,738.8666666666667,0.09833333333333333,[False False False ... False  True False],48-664,48-279,15.0,175.0,738.8666666666667
10.766666666666666,41.366666666666674,51.366666666666674,0.098,[False False False ... False False False],48-664,LA4280,15.0,10.0,51.366666666666674
8.633333333333333,563.8666666666667,738.8666666666667,0.09533333333333334,[False False False ... False False False],48-664,LA4005,15.0,175.0,738.8666666666667
8.633333333333333,563.8666666666667,738.8666666666667,0.095,[False False False ... False False False],48-664,LA4034,15.0,175.0,738.8666666666667
9.7,563.8666666666667,738.8666666666667,0.08266666666666667,[False False False ... False False False],45-692,LA4005,18.0,175.0,738.8666666666667
11.141666666666666,563.8666666666667,738.8666666666667,0.075,[False False  True ... False False False],45-692,48-279,18.0,175.0,738.8666666666667
9.7,35.03333333333333,43.03333333333333,0.07266666666666667,[False False False ... False False False],45-693,70-886,13.5,8.0,43.03333333333333
11.141666666666666,563.8666666666667,738.8666666666667,0.06983333333333333,[False False False ... False False False],45-692,LA4034,18.0,175.0,738.8666666666667
3.9333333333333327,8.7,14.7,0.06866666666666667,[False  True False ... False False False],45-692,70-883,18.0,6.0,14.7
3.9333333333333327,8.7,14.7,0.0665,[False False False ... False False False],45-692,LA4026,18.0,6.0,14.7
3.9333333333333327,8.7,14.7,0.06516666666666666,[False False False ... False False False],45-692,LA4036,18.0,6.0,14.7
3.9333333333333327,8.7,14.7,0.06266666666666666,[False False False ... False  True False],45-692,70-884,18.0,6.0,14.7
10.579166666666666,28.7,34.7,0.03233333333333333,[False False False ... False False False],45-693,70-883,13.5,6.0,34.7
10.579166666666666,28.7,34.7,0.029666666666666668,[ True False False ... False False False],45-693,LA4036,13.5,6.0,34.7
10.579166666666666,28.7,34.7,0.0295,[False False False ... False False False],45-693,70-884,13.5,6.0,34.7
10.579166666666666,28.7,34.7,0.029166666666666667,[False False False ... False False False],45-693,LA4026,13.5,6.0,34.7
3.9333333333333327,9.033333333333333,13.033333333333333,0.02266666666666667,[False False False ... False False False],45-692,70-882,18.0,4.0,13.033333333333333
3.9333333333333327,9.033333333333333,13.033333333333333,0.022333333333333334,[False False  True ... False False False],45-692,LA4024,18.0,4.0,13.033333333333333
6.183333333333332,17.03333333333333,21.03333333333333,0.0135,[False False False ... False False False],45-693,LA4024,13.5,4.0,21.03333333333333
6.183333333333332,17.03333333333333,21.03333333333333,0.012,[False False False ... False False False],45-693,70-882,13.5,4.0,21.03333333333333
