lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-277,25.0,25.0,10.575910914076937,15.370745300682566,40.370745300682565,40.370745300682565,0.3245,SfccfF
48-024,LA4003,25.0,35.0,11.841814386890924,16.316343432530296,51.316343432530296,51.316343432530296,0.3245,SfccfF
48-024,LA4130,25.0,40.1,12.256144882722268,16.705871828675523,56.80587182867552,56.80587182867552,0.324,SfccfF
84-278,84-280,30.0,60.0,16.96674423877676,21.070786944911763,81.07078694491176,81.07078694491176,0.3235,SfccfF
LA4021,84-280,30.0,60.0,12.352941922597529,26.647065063177592,86.64706506317759,86.64706506317759,0.3235,SfccfF
48-024,LA4002,25.0,25.0,10.76799722629574,15.447735996146656,40.447735996146655,40.447735996146655,0.3225,SfccfF
LA4002,48-669,25.0,36.0,12.177944462645238,16.425872288444456,52.42587228844445,52.42587228844445,0.322,SfccfF
36-686,LA4765,27.0,50.2,13.209393933483689,23.65140205652804,73.85140205652804,73.85140205652804,0.3215,SfccfF
36-682,36-683,20.0,25.0,9.716334521140109,13.251716686012958,38.251716686012955,38.251716686012955,0.321,SfccfF
LA4002,LA4327,25.0,75.3,13.725834578686401,17.926223666805267,93.22622366680527,93.22622366680527,0.321,SfccfF
LA4021,84-278,30.0,30.0,10.042597385126482,21.04296584588169,51.04296584588169,51.04296584588169,0.3205,SfccfF
36-686,84-281,27.0,75.0,13.94129318969816,19.950236176514654,94.95023617651465,94.95023617651465,0.32,SfccfF
84-278,84-278,30.0,30.0,14.284917244214581,18.38549622660518,48.385496226605184,48.385496226605184,0.319,SfccfF
LA4647,84-279,20.1,45.0,9.700568489539169,14.557195459777706,59.5571954597777,59.5571954597777,0.319,SfccfF
LA4647,LA4765,20.1,50.2,9.700871469467796,14.503447127628949,64.70344712762895,64.70344712762895,0.319,SfccfF
48-024,84-277,25.0,25.0,10.76372156217989,15.26920048709352,40.26920048709352,40.26920048709352,0.318,SfccfF
LA4002,48-025,25.0,30.0,11.649963243534504,15.855294424023214,45.855294424023214,45.855294424023214,0.318,SfccfF
LA4002,LA4002,25.0,25.0,10.879402017858125,17.176419599176608,42.17641959917661,42.17641959917661,0.3175,SfccfF
36-682,LA4003,20.0,35.0,9.716334536687372,13.271245268518669,48.27124526851867,48.27124526851867,0.3175,SfccfF
36-682,48-026,20.0,40.0,9.701792564090706,15.942012479182264,55.94201247918227,55.94201247918227,0.3165,SfccfF
36-682,LA4130,20.0,40.1,9.740325141142005,13.270924835793856,53.37092483579386,53.37092483579386,0.316,SfccfF
36-682,LA4936,20.0,30.1,9.722545760559942,13.227949293648141,43.327949293648146,43.327949293648146,0.3145,SfccfF
LA4647,48-027,20.1,50.0,9.701139579566275,14.569503969892576,64.56950396989258,64.56950396989258,0.313,SfccfF
48-024,84-279,25.0,45.0,12.498248907124104,20.378759762663186,65.37875976266318,65.37875976266318,0.3115,SfccfF
LA4021,84-281,30.0,75.0,12.901056841678956,26.04727748240833,101.04727748240833,101.04727748240833,0.3115,SfccfF
84-277,84-281,25.0,75.0,13.342200102736406,18.15329943165983,93.15329943165983,93.15329943165983,0.311,SfccfF
36-686,LA4002,27.0,25.0,10.790779007073567,16.7944178621927,41.7944178621927,41.7944178621927,0.309,SfccfF
36-686,LA4327,27.0,75.3,13.91746350750225,20.055957421503084,95.35595742150308,95.35595742150308,0.309,SfccfF
36-682,84-279,20.0,45.0,9.857059714542757,13.36639678082234,58.36639678082234,58.36639678082234,0.308,SfccfF
48-024,48-026,25.0,40.0,12.253774512369368,16.70183432269594,56.701834322695944,56.701834322695944,0.3075,SfccfF
36-682,84-278,20.0,30.0,9.760643470983133,13.288347850045598,43.2883478500456,43.2883478500456,0.307,SfccfF
49-959,LA4936,30.0,30.1,12.861794004561546,19.407135081137742,49.50713508113775,49.50713508113775,0.306,SfccfF
LA4647,LA4042,20.1,60.0,9.750593938088691,14.552085174293122,74.55208517429313,74.55208517429313,0.306,SfccfF
84-277,48-027,25.0,50.0,12.558665208554682,17.34678568348492,67.34678568348492,67.34678568348492,0.3055,SfccfF
36-682,48-669,20.0,36.0,9.716334511531372,13.259672051558423,49.259672051558425,49.259672051558425,0.305,SfccfF
84-278,LA4936,30.0,30.1,14.318780736616066,18.42272767118518,48.52272767118518,48.52272767118518,0.3035,SfccfF
LA4647,LA4130,20.1,40.1,9.700178751932919,14.500198335308426,54.60019833530843,54.60019833530843,0.303,SfccfF
84-277,48-026,25.0,40.0,12.049311223711012,16.802960288012034,56.80296028801203,56.80296028801203,0.303,SfccfF
36-682,48-027,20.0,50.0,10.030179699108036,13.558469738380913,63.558469738380914,63.558469738380914,0.3025,SfccfF
84-278,84-281,30.0,75.0,17.24330114555367,21.358278553386914,96.35827855338691,96.35827855338691,0.3025,SfccfF
84-278,LA4130,30.0,40.1,15.519825423908292,19.620810872571532,59.72081087257153,59.72081087257153,0.302,SfccfF
LA4002,48-026,25.0,40.0,12.516064811384679,16.731068526485323,56.73106852648532,56.73106852648532,0.301,SfccfF
