lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
LA4130,LA4280,0.35139509048529716,27.0,64.9875,87.58749999999999,87.58749999999999,0.4938088706301378,12.77659472527219,33.46323578414899,8.365808946037248,0.999922382723855,0.9888311579228467,paraxial
22-842,LA4024,0.3511102312197906,37.0,48.15,51.15,51.15,0.4761657090226761,12.774651695535868,8.838727454039317,3.2735774136667493,0.9988079319719863,0.989131984044334,paraxial
23-813,LA4024,0.3511102312197906,37.0,48.15,51.15,51.15,0.4761657090226761,12.774651695535868,8.838727454039317,3.2735774136667493,0.9988079319719863,0.989131984044334,paraxial
72-494,LA4024,0.3511102312197906,37.0,48.15,51.15,51.15,0.4761657090226761,12.774651695535868,8.838727454039317,3.2735774136667493,0.9988079319719863,0.989131984044334,paraxial
72-514,LA4024,0.3511102312197906,37.0,48.15,51.15,51.15,0.4761657090226761,12.774651695535868,8.838727454039317,3.2735774136667493,0.9988079319719863,0.989131984044334,paraxial
LA4008,LA4600,0.35095518424353084,47.0,199.0,364.1875,364.1875,0.43351075941153105,12.644673196687371,250.06494132176562,83.65808946037248,0.9898712155586304,0.9976212917516445,paraxial
22-842,45-693,0.3506776905386263,37.0,54.375,84.375,84.375,0.5437217767606031,12.767702657063113,8.838727454039317,11.257468994776211,0.996492466757615,0.9902089807304645,paraxial
23-813,45-693,0.3506776905386263,37.0,54.375,84.375,84.375,0.5437217767606031,12.767702657063113,8.838727454039317,11.257468994776211,0.996492466757615,0.9902089807304645,paraxial
48-275,70-885,0.35047140642384783,27.0,153.305,162.48000000000002,162.48000000000002,0.5247970859175337,12.3846680574723,62.54351514222195,7.511041510246487,0.9988292322935991,0.9873112603558832,paraxial
48-669,LA4765,0.3503151381236948,47.0,67.5,170.60000000000002,170.60000000000002,0.47769774080097616,12.370399507596428,30.02597949979891,41.82904473018624,0.9989594974755451,0.986742348866423,paraxial
36-687,LA4765,0.3502888471997147,47.0,110.0,213.10000000000002,213.10000000000002,0.5855724879460702,12.717649557872736,30.02597949979891,41.82904473018624,0.9875984040066214,0.9980186882066826,paraxial
36-679,48-026,0.35016576256586346,37.0,65.25,148.38,148.38,0.4774561641979922,12.360425936411788,17.513639163117112,33.35411653702677,0.9989363126131555,0.986344490677412,paraxial
48-665,LA4194,0.3500977346982824,27.0,41.0,75.6625,75.6625,0.4754881431275395,12.360544531100052,20.005195305741246,16.731617892074496,0.9987374546465081,0.9863492225101745,paraxial
49-960,LA4579,0.34999887454666145,67.0,115.75,607.6375,607.6375,0.46085032436950346,12.404581804497706,29.189398605195183,250.9742683811175,0.9966815577291628,0.9881047079274683,paraxial
48-027,48-669,0.34974676867965854,47.0,112.4,186.9,186.9,0.5286035339098478,12.342784205675255,41.68355240068995,30.02597949979891,0.9984538153530467,0.9856403467674847,paraxial
48-278,89-413,0.3497371931802135,67.0,145.18,171.68,171.68,0.5661146537316788,12.495203965605507,125.10521682563096,16.677058268513385,0.9923182613221666,0.991707458829062,paraxial
48-026,70-885,0.34941784820918165,27.0,65.13,77.67999999999999,77.67999999999999,0.48378781671147664,12.294863040436159,33.35411653702677,7.511041510246487,0.9994569112512648,0.9837250994372554,paraxial
49-964,89-412,0.34928936265912375,47.0,90.0,116.075,116.075,0.5877041899086333,12.597257336224231,66.70823307405354,12.512340336681799,0.9870251009871406,0.9957490606689805,paraxial
84-284,89-413,0.3489161340618204,37.0,154.5,181.0,181.0,0.4245194308669107,12.578672395528708,75.03766893771672,16.677058268513385,0.9866985431103645,0.9950142670820152,paraxial
49-961,70-885,0.34883618400419475,27.0,96.5,109.05,109.05,0.48944352780656253,12.24623214478242,33.35411653702677,7.511041510246487,0.9997723492381502,0.9817776669153788,paraxial
48-026,49-964,0.34878270646320786,67.0,135.13,298.13,298.13,0.5329074967589578,12.286720981074598,33.35411653702677,66.70823307405354,0.9979706834373532,0.9833993180676703,paraxial
