lens_pair,lens1,lens2,baseline_coupling,original_coupling,orientation,L1_tolerance_1pct_mm,L1_max_drop,L1_sensitivity_per_mm,L2_tolerance_1pct_mm,L2_max_drop,L2_sensitivity_per_mm,worse_lens,total_len_mm,z_l1_mm,z_l2_mm,z_fiber_mm
36-686+36-689,36-686,36-689,0.4408,0.4285,SfccfF,1.0,0.3612,0.3612,1.0,0.20700000000000002,0.20700000000000002,L1,53.52098301910516,12.47468206261803,18.52098301910516,53.52098301910516
LA4021+48-273,LA4021,48-273,0.44,0.4465,SfccfF,1.0,0.3464,0.3464,1.0,0.1968,0.1968,L1,60.28989718763607,11.283916752635196,22.289897187636072,60.28989718763607
36-686+LA4052,36-686,LA4052,0.4278,0.4175,SfccfF,1.0,0.3422,0.3422,1.0,0.2038,0.2038,L1,53.56480783430655,12.464091653808028,18.464807834306548,53.56480783430655
LA4021+36-687,LA4021,36-687,0.4208,0.429,SfccfF,1.0,0.346,0.346,1.0,0.212,0.212,L1,57.903332611166256,10.85748872315446,21.903332611166256,57.903332611166256
49-959+48-273,49-959,48-273,0.4188,0.4445,SfccfF,1.0,0.3068,0.3068,1.0,0.1844,0.1844,L1,58.60997880063464,14.100382939030828,20.609978800634632,58.60997880063464
LA4021+49-960,LA4021,49-960,0.3918,0.3835,SfccfF,1.0,0.32099999999999995,0.32099999999999995,1.0,0.2062,0.2062,L1,56.804619037878055,10.795069385212466,21.80461903787805,56.804619037878055
49-959+36-687,49-959,36-687,0.3912,0.383,SfccfF,1.0,0.3066,0.3066,0.050000000000000044,0.2034,0.2034,L1,58.9962022587511,13.586359848932378,22.996202258751094,58.9962022587511
49-960+49-961,49-960,49-961,0.3768,0.369,SfccfF,1.0,0.27940000000000004,0.27940000000000004,0.050000000000000044,0.16920000000000002,0.16920000000000002,L1,63.81259199736845,17.57782714214458,23.81259199736845,63.81259199736845
49-959+36-689,49-959,36-689,0.3768,0.363,SfccfF,1.0,0.30100000000000005,0.30100000000000005,1.0,0.18980000000000002,0.18980000000000002,L1,55.53968272028972,13.962546206692943,20.53968272028972,55.53968272028972
36-686+49-959,36-686,49-959,0.3726,0.3675,SfccfF,1.0,0.3346,0.3346,1.0,0.22599999999999998,0.22599999999999998,L1,47.76462090369505,11.723272322866954,17.76462090369505,47.76462090369505
LA4021+LA4052,LA4021,LA4052,0.3724,0.363,SfccfF,1.0,0.314,0.314,1.0,0.203,0.203,L1,57.22771630532048,11.12530535196032,22.12771630532048,57.22771630532048
36-689+49-961,36-689,49-961,0.3716,0.378,SfccfF,1.0,0.27159999999999995,0.27159999999999995,1.0,0.18059999999999998,0.18059999999999998,L1,64.37165554800762,15.370783693207905,24.371655548007617,64.37165554800762
49-959+LA4052,49-959,LA4052,0.37,0.3745,SfccfF,1.0,0.3022,0.3022,1.0,0.1986,0.1986,L1,55.54419107649282,13.925999242274418,20.444191076492825,55.54419107649282
LA4052+36-690,LA4052,36-690,0.353,0.3545,SfccfF,1.0,0.25379999999999997,0.25379999999999997,1.0,0.1692,0.1692,L1,64.6887252284386,15.979975800287312,24.688725228438603,64.6887252284386
49-960+LA4306,49-960,LA4306,0.3526,0.3705,SfccfF,1.0,0.25780000000000003,0.25780000000000003,1.0,0.17140000000000002,0.17140000000000002,L1,63.547343290274654,17.89944469094875,23.44734329027465,63.547343290274654
36-689+36-690,36-689,36-690,0.3398,0.3565,SfccfF,1.0,0.2562,0.2562,0.050000000000000044,0.1736,0.1736,L1,68.10234133350819,15.604251566511682,28.1023413335082,68.10234133350819
